id,category,preliminary_confidence,confidence_1,confidence_2,final_confidence,cq_1,cq_2,cq_3,total_delta,cq1_type,cq2_type,cq3_type
msd_001,Windows_8.1,90,90,95,98,Can you still find and launch Microsoft Solitaire from the Start Menu or by searching for it?,"Have you noticed any other icons missing from your taskbar or desktop, or any other unusual behavior with your computer?","Could you please try searching for ""Microsoft Solitaire Collection"" in the Start Menu and let me know if it appears in the results?",8,EPISTEMIC,EPISTEMIC,EPISTEMIC
msd_002,Windows_8.1,90,95,98,99,Have you tried searching for 'calc.exe' or 'Calculator' from the desktop search to see if the classic desktop version is still available?,Are you encountering any issues when trying to pin the classic calculator to the taskbar or Start Screen?,Are you familiar with how to right-click on an app tile or icon on the Start Screen or in search results?,9,EPISTEMIC,EPISTEMIC,EPISTEMIC
msd_003,Bing_Apps,90,95,95,98,"Does the Bing News app crash immediately upon launch, or does it briefly open and then crash when attempting to load content?",Have you recently installed any Windows updates or other system-level software updates around the time this issue started?,"When you mentioned other users having the same problem on a blog, did they also report it starting specifically after customizing sources, or was it a more general crashing issue?",8,ALEATORIC,EPISTEMIC,EPISTEMIC
msd_004,Excel,65,75,85,90,"Is this behavior occurring in all Excel workbooks, including newly created ones, or only in specific existing files?","Within the problematic spreadsheet, does this 'Show/Hide Comment' requirement apply to *all* comments, or only specific ones?","Were these older comments created in Excel 2007, or could they have originated from an older version of Excel (e.g., Excel 2003 or earlier)?",25,EPISTEMIC,ALEATORIC,EPISTEMIC
msd_005,Windows_7,70,75,85,90,"Does the issue persist if you try to launch ""Back up your computer"" from a newly created local administrator user account?","When you click ""Back up your computer"" in the Control Panel and nothing happens, do you see any related error messages in the Windows Event Viewer (specifically under 'Windows Logs' > 'Application' or 'System') around the time of the click?","Are there any other error messages or warnings in the Event Viewer (Application or System logs) that occur *between* the 'Backup 753 started' and 'Backup 754 stopped' entries, or immediately preceding the 'Backup 754 stopped' entry, that might provide more detail on the cause of the failure?",20,EPISTEMIC,EPISTEMIC,EPISTEMIC
msd_006,Skype_Windows_Desktop,75,90,85,95,Are you attempting to connect using a service specifically labeled 'Skype WiFi' or your standard home/office Wi-Fi network?,"When you try to sign into Skype using your regular internet connection, does the 'Skype can't connect' error appear immediately, or after a delay?","Have you tried signing into Skype on a different device (e.g., a mobile phone, web browser, or another computer) using the same account and network?",20,EPISTEMIC,EPISTEMIC,EPISTEMIC
msd_007,Windows_10,85,85,80,95,"Have you recently connected or disconnected any external monitors, or changed your display resolution settings?","When you right-click on your desktop and select 'Display settings', does that window appear correctly, or does it also disappear like the others?","Does this disappearing window behavior occur with any other applications besides Settings and Steam, such as File Explorer or your web browser?",10,EPISTEMIC,EPISTEMIC,EPISTEMIC
msd_008,Apps_Windows_10,75,85,90,95,"Does this page reloading issue occur only on YouTube, or do you experience it on other websites when you try to copy text or images?","Does this page reloading issue occur regardless of whether you are logged into your YouTube account, or does it only happen when you are signed in?","When you right-click to copy on YouTube, does the page reload immediately upon right-clicking, or only after you select the 'Copy' option from the context menu?",20,EPISTEMIC,EPISTEMIC,EPISTEMIC
msd_009,Excel,85,90,95,98,Could you confirm if you are using FALSE or 0 as the fourth argument in your VLOOKUP function to ensure an exact match?,"When you tried using the VALUE function or changing data types, did you observe any changes in the underlying numerical values of the time stamps (e.g., by formatting the cells as 'General' or 'Number')?","Could you please format a few of the problematic time stamps (e.g., '2:06' from both your original and second tables) as 'General' or 'Number' and tell me if their numerical values are identical?",13,EPISTEMIC,EPISTEMIC,EPISTEMIC
msd_010,Bing,70,85,90,95,"Could you please tell me where you saw the promise for the Amazon gift card (e.g., a specific email, a website, or a Microsoft Rewards promotion)?","Did the website www.heyitsfree.net specify any particular actions or requirements you needed to complete to receive the Amazon gift card, beyond just creating a Hotmail account?",Did you ever receive any communication or instructions from www.heyitsfree.net after creating your Hotmail account regarding how to claim the Amazon gift card?,25,EPISTEMIC,EPISTEMIC,EPISTEMIC
msd_011,Apps_Windows_10,75,75,80,90,"If you modify your onclick handler to simply window.open('about:blank', '_blank'); (without immediately closing it), does that new tab successfully open and come to the foreground in Edge?",Does the issue persist if the Edge browser window is merely in the background (not minimized) when the notification is clicked?,"If you click the notification immediately after it appears, without interacting with any other applications or minimizing Edge, does it still fail to bring the Edge window to the front?",15,EPISTEMIC,EPISTEMIC,EPISTEMIC
msd_012,Excel,65,75,85,90,"Does this sorting issue occur in all Excel workbooks, or only in this specific spreadsheet?","Does this spreadsheet contain any macros, external data connections, or complex formulas that might be impacting its behavior?","Are the VLOOKUPs and formula columns located within the data range you are trying to sort (rows 3-102), or are they in separate columns outside this range?",25,EPISTEMIC,EPISTEMIC,EPISTEMIC
msd_013,Word,85,90,95,98,"Did this issue begin immediately after a specific Office update, or after any other recent system changes on your Mac?","Have you observed this rendering issue with any other types of controls within your Userforms (e.g., ListBoxes, Option Buttons), or is it exclusively affecting ComboBoxes?","Does this rendering issue occur with newly created Userforms and ComboBoxes, or only with existing ones in your documents?",13,EPISTEMIC,EPISTEMIC,EPISTEMIC
msd_014,Word,95,100,100,100,"Beyond validating your method, are you experiencing any further issues or inconsistencies with these font changes?","Are you interested in making these font style changes permanent for all new documents, or are they intended to be specific to the current document only?","Given that your method successfully changes the font styles as desired, do you consider this issue fully resolved, or are there any other related customizations you're looking to achieve?",5,EPISTEMIC,ALEATORIC,ALEATORIC
msd_015,Apps_Windows_10,85,80,75,90,"Does the Calculator app start consuming excessive memory immediately upon system startup, or only after you've opened and used it?","After a fresh restart, could you check Task Manager to see if the Calculator app is consuming significant memory *before* you open it, and then again *after* you've used it for a short period?","When your computer starts slowing down and you go into Task Manager, do you notice any other applications or processes, besides Calculator, that are also consuming unusually high amounts of memory or CPU?",5,EPISTEMIC,EPISTEMIC,EPISTEMIC
msd_016,Bing_Search,85,90,95,98,"What is your current default web browser, and does the issue persist if you try to open search results using a different browser (e.g., Microsoft Edge or Chrome) set as default?","When you type a query into the Bing Desktop search bar and press Enter, does anything at all happen on the screen (e.g., a brief flicker, a new window attempting to open, or an error message), or does it remain completely unresponsive?","Can you confirm if other applications on your computer (e.g., clicking a link in an email or a document) are able to successfully open your default web browser?",13,EPISTEMIC,ALEATORIC,EPISTEMIC
msd_017,Bing_Search,75,70,60,60,"Which web browser are you using (e.g., Edge, Chrome, Firefox), and does this issue persist if you try searching in an InPrivate or Incognito window?","Could you please tell me which web browser you are using (e.g., Microsoft Edge, Google Chrome, or Mozilla Firefox)?","When you open your internet browser, what is the name or logo you see at the top of the window, or on the icon you click to open it (e.g., a blue 'e' for Edge, a colorful circle for Chrome, or a fox around a globe for Firefox)?",-15,EPISTEMIC,EPISTEMIC,EPISTEMIC
msd_018,Windows_10,60,75,70,90,Have you tried updating or reinstalling your graphics drivers since this issue started?,What is the make and model of your graphics card?,Can you tell me what is listed under 'Display adapters' in your Device Manager?,30,EPISTEMIC,EPISTEMIC,EPISTEMIC
msd_019,Bing,75,75,75,80,"Does the Bing Video search function work correctly if you try it in a different web browser, such as Microsoft Edge or Chrome?","Have you recently made any changes to your Firefox settings, such as Enhanced Tracking Protection, or installed any new add-ons or security software that might interfere with web content?","Could you please navigate to 'about:addons' in your Firefox browser and tell me if you have any extensions listed under 'Extensions' or 'Plugins' that might be related to privacy, ad-blocking, or security?",5,EPISTEMIC,EPISTEMIC,EPISTEMIC
msd_020,PowerPoint,85,90,90,95,Is your OneDrive account currently signed in or connected within PowerPoint's account settings or your Mac's System Settings?,"After checking PowerPoint's 'Accounts' and your Mac's 'System Settings' > 'Internet Accounts', did you find any OneDrive accounts listed or connected?",Could you please check PowerPoint's 'Accounts' settings and your Mac's 'System Settings' > 'Internet Accounts' and let me know if you see any OneDrive accounts listed or connected in either location?,10,EPISTEMIC,EPISTEMIC,EPISTEMIC
msd_021,PowerPoint,85,95,95,98,"Are you looking to record your narration and video directly within PowerPoint 2010, or are you open to using Camtasia Studio 7 or Adobe Premier Elements 12 to combine your PowerPoint slides with your webcam video?","Will your PowerPoint presentation be self-running with specific timings, or will you be manually advancing the slides as you narrate during the recording?","Do you prefer to manually control the slide advancement and narration timing during the recording, or would you like to set specific timings for each slide within PowerPoint before recording?",13,ALEATORIC,ALEATORIC,ALEATORIC
msd_022,Excel,90,95,95,100,"For the mean, are you looking to highlight cells that contain the exact calculated mean value, or cells that are closest to the mean?","If the minimum, maximum, or calculated mean value appears multiple times in the column, should all occurrences be highlighted, or only the first one found?","Would you prefer to use different highlight colors or background fills for the minimum, maximum, and mean values, or should they all be highlighted with the same visual style?",10,ALEATORIC,ALEATORIC,ALEATORIC
msd_023,PowerPoint,65,65,60,55,"When you reopened PowerPoint after the crash, did it present an 'Document Recovery' pane on the left side with any versions of your file?","Were there any embedded objects, linked files, or complex media (like high-resolution videos or large images) in the presentation, or was it primarily text and basic shapes?","Where is the file saved? Is it on your local computer's hard drive, a network drive, or a cloud storage service like OneDrive or SharePoint?",-10,EPISTEMIC,EPISTEMIC,EPISTEMIC
